Date,Max Temperature,Average Temperature,Min Temperature
2022-07-01,19.3,15.2,12.6
2022-07-02,20.3,16.3,13.3
2022-07-03,20.4,15.7,11.7
2022-07-04,18.2,15.3,13.5
2022-07-05,20.7,16.2,12.2
2022-07-06,19.9,16.8,14.6
2022-07-07,24.5,18.3,14.1
2022-07-08,23.7,18.8,14.3
2022-07-09,24.5,19.1,14.8
2022-07-10,28.3,21.0,13.6
2022-07-11,30.1,23.6,14.3
2022-07-12,24.9,22.6,19.6
2022-07-13,22.1,18.3,14.4
2022-07-14,21.3,16.5,13.6
2022-07-15,20.3,16.5,13.4
2022-07-16,26.1,18.6,11.6
2022-07-17,30.8,23.4,15.6
2022-07-18,36.7,28.7,21.7
2022-07-19,39.3,29.1,21.2
2022-07-20,26.1,21.7,17.7
2022-07-21,18.6,17.1,15.6
2022-07-22,17.1,15.7,14.6
2022-07-23,21.3,18.2,13.6
2022-07-24,23.9,19.9,17.8
2022-07-25,22.5,17.4,13.3
2022-07-26,19.7,14.9,12.6
2022-07-27,23.2,17.4,12.1
2022-07-28,20.7,16.6,13.5
2022-07-29,22.7,17.6,14.2
2022-07-30,20.7,18.2,16.2
2022-07-31,22.7,18.6,15.8
